Sexo,Edad,Estudios,Comunidad,Aportan_vs_Reciben,Quitan_Trabajo,Matrimonio_Hijo,Valoracion_General,Tramo_edad
Hombre,39.0,Bachillerato,Galicia,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Positiva,Adultos
Mujer,85.0,,Galicia,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Mujer,52.0,Educación secundaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,47.0,Educación secundaria,Galicia,Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,61.0,Educación primaria,Galicia,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Hombre,51.0,Arquitectura o ingeniería superiores,Madrid (Comunidad de),N.S.,N.S.,Acepta/ría,Positiva,Adultos Mayores
Hombre,69.0,Bachillerato,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,57.0,Bachillerato,Madrid (Comunidad de),Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Hombre,40.0,Estudios de licenciatura,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,72.0,Educación secundaria,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Muy negativa,Jubilados
Hombre,71.0,Estudios de licenciatura,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Positiva,Jubilados
Mujer,77.0,Educación primaria,Madrid (Comunidad de),Más de lo que aportan,N.S.,Acepta/ría,Positiva,Jubilados
Mujer,38.0,Diplomatura,Madrid (Comunidad de),Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,18.0,Educación secundaria,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,
Mujer,61.0,Educación primaria,País Vasco,Mucho más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Hombre,46.0,Máster oficial universitario,País Vasco,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,74.0,Educación primaria,País Vasco,Más de lo que aportan,Muy de acuerdo,Rechazaría,Muy negativa,Jubilados
Mujer,51.0,FP de grado superior,País Vasco,Mucho más de lo que aportan,Más bien en desacuerdo,Trataría de evitarla,Positiva,Adultos Mayores
Mujer,71.0,Educación primaria,País Vasco,Más de lo que aportan,Muy de acuerdo,N.S.,Negativa,Jubilados
Hombre,56.0,Educación secundaria,País Vasco,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,34.0,FP de grado superior,País Vasco,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Negativa,Adultos
Hombre,27.0,Diplomatura,País Vasco,Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,37.0,Diplomatura,País Vasco,Mucho más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Hombre,52.0,Bachillerato,País Vasco,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,53.0,FP de grado superior,País Vasco,Más de lo que aportan,Más bien de acuerdo,N.S.,Negativa,Adultos Mayores
Hombre,81.0,Educación primaria,País Vasco,Más de lo que aportan,Muy de acuerdo,N.S.,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,33.0,FP de grado medio,País Vasco,Más de lo que aportan,N.S.,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,30.0,FP de grado superior,País Vasco,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,42.0,FP de grado medio,País Vasco,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,34.0,FP de grado superior,País Vasco,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,30.0,FP de grado superior,Castilla y León,N.S.,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,50.0,Educación secundaria,Castilla y León,Mucho más de lo que aportan,Muy de acuerdo,Rechazaría,Negativa,Adultos
Mujer,69.0,Menos de 5 años de escolarización,Castilla y León,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,N.S.,Jubilados
Mujer,20.0,Educación secundaria,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,60.0,Educación primaria,Castilla y León,Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,35.0,Diplomatura,Castilla y León,Mucho más de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,53.0,Bachillerato,Castilla y León,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Muy negativa,Adultos Mayores
Hombre,18.0,Bachillerato,Castilla y León,Menos de lo que aportan,Muy en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,
Hombre,47.0,FP de grado superior,Cataluña,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,27.0,FP de grado superior,Cataluña,Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,86.0,,Cataluña,Tanto como aportan,N.S.,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,84.0,Educación primaria,Cataluña,Menos de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Mujer,70.0,Educación primaria,Cataluña,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Hombre,30.0,Bachillerato,Cataluña,Menos de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,40.0,Educación primaria,Cataluña,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,54.0,Bachillerato,Cataluña,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,77.0,Educación primaria,Madrid (Comunidad de),Mucho más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Muy negativa,Jubilados
Hombre,67.0,FP de grado superior,Madrid (Comunidad de),N.S.,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,64.0,FP de grado superior,Madrid (Comunidad de),Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,65.0,FP de grado superior,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,29.0,FP de grado superior,Madrid (Comunidad de),Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,32.0,Diplomatura,Madrid (Comunidad de),Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Adultos
Mujer,72.0,Diplomatura,Madrid (Comunidad de),Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Muy negativa,Jubilados
Hombre,60.0,Educación secundaria,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,46.0,Estudios de licenciatura,Madrid (Comunidad de),Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,59.0,Bachillerato,Madrid (Comunidad de),Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,46.0,Diplomatura,Madrid (Comunidad de),Más de lo que aportan,N.S.,(NO LEER) Depende,Positiva,Adultos
Hombre,40.0,Bachillerato,Madrid (Comunidad de),Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,71.0,FP de grado superior,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,N.S.,Positiva,Jubilados
Hombre,69.0,Educación secundaria,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,65.0,Educación secundaria,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,41.0,Diplomatura,Madrid (Comunidad de),Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,31.0,Bachillerato,Madrid (Comunidad de),Tanto como aportan,N.S.,Acepta/ría,Positiva,Adultos
Hombre,27.0,FP de grado superior,Madrid (Comunidad de),Menos de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,44.0,Diplomatura,Madrid (Comunidad de),N.S.,Muy en desacuerdo,(NO LEER) Depende,Positiva,Adultos
Mujer,58.0,Doctorado,Madrid (Comunidad de),Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Adultos Mayores
Hombre,18.0,Bachillerato,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,
Mujer,76.0,Educación primaria,Madrid (Comunidad de),N.S.,Muy de acuerdo,Acepta/ría,Negativa,Jubilados
Mujer,45.0,Diplomatura,Madrid (Comunidad de),Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos
Mujer,50.0,Educación secundaria,Madrid (Comunidad de),Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Muy negativa,Adultos
Mujer,43.0,Diplomatura,Madrid (Comunidad de),Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,41.0,Bachillerato,Madrid (Comunidad de),N.S.,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,54.0,Bachillerato,Madrid (Comunidad de),Más de lo que aportan,N.S.,Acepta/ría,Negativa,Adultos Mayores
Hombre,66.0,Diplomatura,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Trataría de evitarla,Positiva,Jubilados
Mujer,87.0,Educación primaria,Castilla y León,Mucho más de lo que aportan,N.S.,Rechazaría,N.S.,Jubilados
Mujer,47.0,Diplomatura,Castilla y León,N.S.,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,56.0,FP de grado superior,Castilla y León,Mucho más de lo que aportan,Más bien de acuerdo,Rechazaría,Negativa,Adultos Mayores
Mujer,30.0,FP de grado medio,Castilla y León,Mucho más de lo que aportan,Muy de acuerdo,(NO LEER) Depende,Negativa,Jóvenes
Hombre,60.0,Estudios de licenciatura,Castilla y León,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,37.0,FP de grado superior,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,80.0,Educación primaria,Cataluña,Más de lo que aportan,N.S.,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,33.0,Educación primaria,Cataluña,Mucho más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,54.0,Educación secundaria,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,44.0,Educación secundaria,Cataluña,Más de lo que aportan,N.S.,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,54.0,Educación secundaria,Cataluña,Mucho más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,78.0,,Cataluña,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Hombre,70.0,Educación primaria,Cataluña,Mucho más de lo que aportan,Muy en desacuerdo,Trataría de evitarla,Muy negativa,Jubilados
Mujer,48.0,Educación secundaria,Castilla-La Mancha,Más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,19.0,Bachillerato,Castilla-La Mancha,Tanto como aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Hombre,65.0,Educación primaria,Castilla-La Mancha,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Mujer,36.0,Arquitectura o ingeniería superiores,Castilla-La Mancha,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,58.0,Educación primaria,Castilla-La Mancha,N.S.,Más bien de acuerdo,(NO LEER) Depende,Positiva,Adultos Mayores
Hombre,35.0,FP de grado medio,Galicia,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,51.0,Educación secundaria,Galicia,Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,86.0,Educación primaria,Galicia,Tanto como aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Jubilados
Hombre,58.0,Educación secundaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,52.0,Educación primaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos Mayores
Mujer,44.0,Educación secundaria,Galicia,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,21.0,Bachillerato,Galicia,Más de lo que aportan,Muy de acuerdo,Rechazaría,Negativa,Jóvenes
Hombre,21.0,FP de grado medio,Galicia,Menos de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,64.0,Educación secundaria,Andalucía,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Hombre,53.0,Educación secundaria,Andalucía,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Adultos Mayores
Hombre,59.0,Estudios de licenciatura,Andalucía,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,25.0,Educación secundaria,Andalucía,Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Jóvenes
Mujer,73.0,,Andalucía,Más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Jubilados
Hombre,39.0,Estudios de licenciatura,Andalucía,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,81.0,,Andalucía,Tanto como aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,48.0,Educación secundaria,Andalucía,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,20.0,Educación secundaria,Andalucía,N.S.,Muy de acuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,18.0,Bachillerato,País Vasco,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,
Hombre,62.0,Bachillerato,País Vasco,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,75.0,Educación primaria,País Vasco,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,N.S.,Jubilados
Hombre,19.0,FP de grado superior,País Vasco,N.S.,Más bien de acuerdo,Rechazaría,Muy negativa,Jóvenes
Hombre,65.0,FP de grado medio,País Vasco,Mucho más de lo que aportan,Más bien en desacuerdo,Trataría de evitarla,Negativa,Adultos Mayores
Mujer,36.0,FP de grado superior,País Vasco,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,27.0,FP de grado medio,País Vasco,Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Hombre,33.0,FP de grado superior,País Vasco,N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,42.0,Bachillerato,Madrid (Comunidad de),Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,66.0,Estudios de licenciatura,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,70.0,Bachillerato,Madrid (Comunidad de),Tanto como aportan,Más bien en desacuerdo,N.S.,Positiva,Jubilados
Mujer,36.0,Estudios de licenciatura,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,N.S.,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,32.0,Diplomatura,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,29.0,FP de grado superior,Madrid (Comunidad de),Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Hombre,80.0,Educación secundaria,Madrid (Comunidad de),Mucho más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Hombre,47.0,Estudios de licenciatura,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,Trataría de evitarla,Positiva,Adultos
Mujer,45.0,Bachillerato,Madrid (Comunidad de),N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,78.0,Estudios de licenciatura,Madrid (Comunidad de),N.S.,Muy en desacuerdo,(NO LEER) Depende,Positiva,Jubilados
Mujer,56.0,Estudios de licenciatura,Madrid (Comunidad de),Más de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,56.0,Arquitectura o ingeniería técnicas,Madrid (Comunidad de),Mucho más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,68.0,Educación secundaria,Madrid (Comunidad de),Más de lo que aportan,Muy de acuerdo,Rechazaría,Negativa,Jubilados
Mujer,52.0,Estudios de licenciatura,Madrid (Comunidad de),Mucho más de lo que aportan,Más bien en desacuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Hombre,51.0,Educación secundaria,Cataluña,Más de lo que aportan,Más bien de acuerdo,Rechazaría,Muy negativa,Adultos Mayores
Hombre,75.0,FP de grado medio,Cataluña,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Jubilados
Mujer,43.0,FP de grado medio,Cataluña,Tanto como aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,59.0,Educación secundaria,Cataluña,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Hombre,35.0,FP de grado medio,Cataluña,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos
Mujer,26.0,Estudios de grado,Cataluña,N.S.,N.S.,Acepta/ría,Positiva,Jóvenes
Mujer,46.0,Bachillerato,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,53.0,Educación primaria,Castilla y León,Tanto como aportan,Muy en desacuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,74.0,Educación primaria,Castilla y León,N.S.,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,37.0,Educación secundaria,Castilla y León,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Mujer,68.0,Bachillerato,Castilla y León,N.S.,N.S.,Acepta/ría,Positiva,Jubilados
Hombre,39.0,Educación secundaria,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,30.0,Educación secundaria,Castilla y León,Mucho más de lo que aportan,Muy de acuerdo,Rechazaría,Negativa,Jóvenes
Mujer,46.0,FP de grado medio,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,(NO LEER) Depende,Positiva,Adultos
Hombre,40.0,FP de grado superior,Cataluña,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
